epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.281,2.84982,2.77214,1.15424,0.39895,0.37428,0.28804,0.08678,2.71989,2.33781,1.05086,0.000663212,0.000663212,0.000663212
2,642.508,2.68472,1.70539,1.10539,0.45437,0.43762,0.39338,0.11848,2.79995,1.7551,1.06643,0.00131671,0.00131671,0.00131671
3,1028.09,2.63221,1.43907,1.0842,0.51547,0.46219,0.42256,0.14476,2.59868,1.47093,1.04431,0.00195701,0.00195701,0.00195701
4,1335.36,2.53448,1.31309,1.0605,0.52704,0.47754,0.44044,0.14573,2.57604,1.60128,1.02826,0.0019406,0.0019406,0.0019406
5,1603.99,2.48136,1.26452,1.04681,0.55855,0.53129,0.53047,0.18628,2.46796,1.26768,1.00102,0.0019208,0.0019208,0.0019208
6,1864.11,2.39393,1.21474,1.01759,0.58736,0.57505,0.52662,0.17773,2.34212,1.17373,0.96516,0.001901,0.001901,0.001901
7,2113.72,2.36034,1.18096,1.00741,0.62965,0.56781,0.57327,0.21226,2.38,1.17594,0.98201,0.0018812,0.0018812,0.0018812
8,2362.47,2.27268,1.13555,1.00653,0.67023,0.58541,0.60089,0.22531,2.30859,1.11124,0.9676,0.0018614,0.0018614,0.0018614
9,2601.66,2.245,1.10208,0.99051,0.66447,0.5732,0.60485,0.23031,2.30662,1.13789,0.95199,0.0018416,0.0018416,0.0018416
10,2849.09,2.18562,1.07342,0.9652,0.67253,0.60311,0.63459,0.25271,2.2155,1.06395,0.93556,0.0018218,0.0018218,0.0018218
11,3091.34,2.16004,1.04613,0.96849,0.6531,0.62111,0.63747,0.2533,2.15808,1.15438,0.92948,0.001802,0.001802,0.001802
12,3327.55,2.12557,1.03007,0.96739,0.68281,0.63992,0.64356,0.25126,2.22183,1.06558,0.94558,0.0017822,0.0017822,0.0017822
13,3561.27,2.13332,1.02957,0.95745,0.72526,0.67084,0.69774,0.28879,2.06222,0.97395,0.90804,0.0017624,0.0017624,0.0017624
14,3790.97,2.08274,0.99492,0.95734,0.73544,0.65522,0.69416,0.29311,2.09824,0.99085,0.91982,0.0017426,0.0017426,0.0017426
15,4020.13,2.03092,0.9858,0.94069,0.74606,0.68944,0.71315,0.31187,2.03634,0.97413,0.90838,0.0017228,0.0017228,0.0017228
