epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1367.69,0.97914,1.51857,1.0673,0.85694,0.65767,0.72611,0.54586,1.37401,1.27089,1.0139,0.00999241,0.0033308,0.00999241,0.0033308,0.00999241,0.0033308,0.00999241,0.0033308
2,3006.73,0.96611,0.90638,1.06409,0.84262,0.68149,0.73345,0.54695,1.39012,0.98638,1.03795,0.0197945,0.00659816,0.0197945,0.00659816,0.0197945,0.00659816,0.0197945,0.00659816
3,4881.29,1.02136,0.8639,1.10076,0.78491,0.70817,0.76255,0.52361,1.52279,1.05031,1.11238,0.0293986,0.00979952,0.0293986,0.00979952,0.0293986,0.00979952,0.0293986,0.00979952
4,1636.72,1.01743,0.83877,1.11805,0.86083,0.69684,0.77914,0.56234,1.42482,1.06525,1.08569,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3173.36,0.94964,0.75434,1.08859,0.82391,0.75938,0.8159,0.60245,1.363,0.84988,1.04237,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4638.96,0.90064,0.7054,1.0721,0.88716,0.74406,0.82431,0.61767,1.29259,0.78821,1.02072,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6097.95,0.86975,0.66962,1.05757,0.8319,0.77974,0.83225,0.62962,1.28659,0.77977,1.01984,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7576.01,0.84991,0.64192,1.04832,0.84836,0.77725,0.83465,0.63418,1.25986,0.77784,1.0049,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8946.1,0.8291,0.62175,1.04004,0.86274,0.77981,0.84369,0.63921,1.26256,0.7308,1.00521,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10299.8,0.81246,0.60721,1.03257,0.86509,0.79096,0.8463,0.6509,1.22082,0.71376,0.99961,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,11660.3,0.79806,0.59653,1.02515,0.86732,0.79602,0.85533,0.64949,1.2032,0.69851,0.98926,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13032.4,0.78379,0.58034,1.02064,0.87886,0.79133,0.8598,0.66636,1.16482,0.67164,0.9753,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,14341.8,0.7727,0.57017,1.0139,0.87844,0.80725,0.86531,0.66767,1.15206,0.66612,0.97948,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,15654.8,0.76942,0.56168,1.01132,0.87267,0.8075,0.87123,0.67618,1.13719,0.64994,0.96278,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,16951.2,0.75977,0.55198,1.00506,0.86855,0.81559,0.87201,0.67935,1.13874,0.63794,0.96242,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,18274.9,0.75435,0.54466,1.0058,0.87184,0.82337,0.87874,0.68693,1.10564,0.61757,0.96112,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,19538.6,0.74485,0.53932,1.00026,0.88376,0.82417,0.88174,0.68845,1.10476,0.6141,0.95904,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,20829.8,0.73593,0.53312,0.9969,0.88041,0.81815,0.87867,0.69213,1.08355,0.61469,0.95199,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,22127.7,0.73211,0.52843,0.99459,0.89442,0.82729,0.88567,0.69451,1.0772,0.61296,0.95333,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,23387.5,0.72257,0.52141,0.98892,0.88319,0.83801,0.89097,0.70049,1.05991,0.59362,0.94333,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,24627.7,0.72335,0.51917,0.9917,0.89337,0.83108,0.89018,0.70057,1.05762,0.59813,0.9489,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,25845.9,0.71966,0.51226,0.9898,0.89206,0.83689,0.89293,0.70409,1.05325,0.58729,0.94943,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,27080.9,0.71152,0.50373,0.98668,0.88684,0.83863,0.89393,0.70758,1.04797,0.57983,0.94363,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,28316.2,0.70799,0.50201,0.98419,0.9002,0.84183,0.89633,0.71154,1.03596,0.57222,0.93893,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,29569.8,0.69942,0.49614,0.97968,0.89842,0.84615,0.89949,0.71574,1.01408,0.56305,0.93471,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,30799.3,0.69946,0.49548,0.98205,0.89753,0.84798,0.90045,0.71371,1.01399,0.56346,0.93589,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,31997.1,0.69553,0.49306,0.97859,0.89411,0.84948,0.89939,0.7161,1.0052,0.5569,0.93761,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,33211.3,0.68963,0.48116,0.97484,0.89788,0.86016,0.905,0.71812,1.0035,0.55012,0.93571,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,34410.7,0.69327,0.48993,0.97782,0.89867,0.85495,0.90497,0.72089,0.99101,0.54981,0.93127,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,35586.4,0.68483,0.48134,0.97403,0.90066,0.85604,0.90496,0.72223,0.98233,0.54347,0.92912,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,37410.9,0.68475,0.47685,0.97564,0.90191,0.85987,0.90717,0.72439,0.98076,0.54116,0.93084,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,38586.1,0.67886,0.4728,0.97205,0.90294,0.8627,0.9081,0.72613,0.965,0.53592,0.92692,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39748,0.67996,0.47404,0.97422,0.90507,0.86109,0.9086,0.72608,0.96832,0.53436,0.92812,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,40943.3,0.67153,0.46856,0.9688,0.90465,0.86079,0.90791,0.72772,0.96433,0.53142,0.92538,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,42122,0.67057,0.4672,0.96864,0.90814,0.85701,0.90838,0.7283,0.95967,0.52859,0.92434,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,43331.8,0.66481,0.46046,0.96423,0.90828,0.85733,0.90743,0.72836,0.9578,0.52578,0.92349,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,44523.6,0.66382,0.45899,0.96273,0.9077,0.8601,0.91005,0.72999,0.96461,0.52526,0.92397,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,45705.6,0.66085,0.45646,0.96387,0.913,0.85868,0.91092,0.73136,0.96145,0.52355,0.92471,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
